index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
224,The River Runner,Movie,2021,Documentaries,Netflix,2021-08-25,,,,,
225,The Old Ways,Movie,2020,Horror Movies,Netflix,2021-08-25,,,,,
226,The November Man,Movie,2014,Action & Adventure,Netflix,2021-08-25,,,,,
227,Open Your Eyes,TV Show,2021,International TV Shows,Netflix,2021-08-25,,,,,
228,Post Mortem: No One Dies in Skarnes,TV Show,2021,International TV Shows,Netflix,2021-08-25,,,,,
229,John of God: The Crimes of a Spiritual Healer,TV Show,2021,Crime TV Shows,Netflix,2021-08-25,,,,,
230,Clickbait,TV Show,2021,Crime TV Shows,Netflix,2021-08-25,,,,,
231,"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021,Documentaries,Netflix,2021-08-25,,,,,
232,Motel Makeover,TV Show,2021,International TV Shows,Netflix,2021-08-25,,,,,
233,Count Me In,Movie,2021,Documentaries,Netflix,2021-08-24,,,,,
234,Oggy Oggy,TV Show,2021,Kids' TV,Netflix,2021-08-24,,,,,
235,Untold: Caitlyn Jenner,Movie,2021,Documentaries,Netflix,2021-08-24,,,,,
236,Boomika (Telugu),Movie,2021,Horror Movies,Netflix,2021-08-23,,,,,
237,The Witcher: Nightmare of the Wolf,Movie,2021,Action & Adventure,Netflix,2021-08-23,,,,,
238,Boomika,Movie,2021,Horror Movies,Netflix,2021-08-23,,,,,
239,Boomika (Malayalam),Movie,2021,Horror Movies,Netflix,2021-08-23,,,,,
240,Boomika (Hindi),Movie,2021,Horror Movies,Netflix,2021-08-23,,,,,
241,Manifest,TV Show,2021,TV Dramas,Netflix,2021-08-21,,,,,
242,The Loud House Movie,Movie,2021,Children & Family Movies,Netflix,2021-08-20,,,,,
243,Man in Love,Movie,2021,Dramas,Netflix,2021-08-20,,,,,
244,Sweet Girl,Movie,2021,Action & Adventure,Netflix,2021-08-20,,,,,
245,The Chair,TV Show,2021,TV Comedies,Netflix,2021-08-20,,,,,
246,Korean Cold Noodle Rhapsody,TV Show,2021,Docuseries,Netflix,2021-08-20,,,,,
247,Everything Will Be Fine,TV Show,2021,International TV Shows,Netflix,2021-08-20,,,,,
248,Comedy Premium League,TV Show,2021,International TV Shows,Netflix,2021-08-20,,,,,
249,Gunshot,Movie,2018,Dramas,Netflix,2021-08-20,,,,,
250,A Faraway Land,Movie,2020,Dramas,Netflix,2021-08-19,,,,,
251,Like Crazy,Movie,2011,Dramas,Netflix,2021-08-19,,,,,
252,Out of my league,Movie,2020,Comedies,Netflix,2021-08-18,,,,,
253,Untold: Deal With the Devil,Movie,2021,Documentaries,Netflix,2021-08-18,,,,,
254,The Secret Diary of an Exchange Student,Movie,2021,Comedies,Netflix,2021-08-18,,,,,
255,The Defeated,TV Show,2020,Crime TV Shows,Netflix,2021-08-18,,,,,
256,Pahuna,Movie,2018,Comedies,Netflix,2021-08-18,,,,,
257,Nneka The Pretty Serpent,Movie,2020,Dramas,Netflix,2021-08-18,,,,,
258,O Kadhal Kanmani,Movie,2015,Dramas,Netflix,2021-08-18,,,,,
259,Memories of a Murderer: The Nilsen Tapes,Movie,2021,Documentaries,Netflix,2021-08-18,,,,,
260,Go! Go! Cory Carson,TV Show,2021,Kids' TV,Netflix,2021-08-18,,,,,
261,Bombay,Movie,1995,Dramas,Netflix,2021-08-18,,,,,
262,Black Island,Movie,2021,International Movies,Netflix,2021-08-18,,,,,
263,Mother Goose Club,TV Show,2016,Kids' TV,Netflix,2021-08-16,,,,,
264,Walk of Shame,Movie,2014,Comedies,Netflix,2021-08-16,,,,,
265,The Piano,Movie,1993,Classic Movies,Netflix,2021-08-15,,,,,
266,Unroyal,Movie,2020,Dramas,Netflix,2021-08-15,,,,,
267,Winx Club,TV Show,2015,Kids' TV,Netflix,2021-08-15,,,,,
268,The Creative Indians,TV Show,2020,Docuseries,Netflix,2021-08-15,,,,,
269,Rascal Does Not Dream of Bunny Girl Senpai,TV Show,2018,Anime Series,Netflix,2021-08-15,,,,,
270,Beckett,Movie,2021,Action & Adventure,Netflix,2021-08-13,,,,,
271,Brand New Cherry Flavor,TV Show,2021,TV Dramas,Netflix,2021-08-13,,,,,
272,Fast & Furious Spy Racers,TV Show,2021,Kids' TV,Netflix,2021-08-13,,,,,
273,Gone for Good,TV Show,2021,Crime TV Shows,Netflix,2021-08-13,,,,,
274,Grace and Frankie,TV Show,2021,TV Comedies,Netflix,2021-08-13,,,,,
275,The Kingdom,TV Show,2021,Crime TV Shows,Netflix,2021-08-13,,,,,
276,Valeria,TV Show,2021,International TV Shows,Netflix,2021-08-13,,,,,
277,AlRawabi School for Girls,TV Show,2021,International TV Shows,Netflix,2021-08-12,,,,,
278,Lokillo: Nothing's the Same,Movie,2021,Stand-Up Comedy,Netflix,2021-08-12,,,,,
279,Monster Hunter: Legends of the Guild,Movie,2021,Action & Adventure,Netflix,2021-08-12,,,,,
280,Misha and the Wolves,Movie,2021,Documentaries,Netflix,2021-08-11,,,,,
281,The Railway Man,Movie,2013,Dramas,Netflix,2021-08-11,,,,,
282,The Kissing Booth 3,Movie,2021,Comedies,Netflix,2021-08-11,,,,,
283,Bake Squad,TV Show,2021,Reality TV,Netflix,2021-08-11,,,,,
284,La diosa del asfalto,Movie,2020,Dramas,Netflix,2021-08-11,,,,,
285,Brother Jekwu,Movie,2016,Comedies,Netflix,2021-08-11,,,,,
286,Gabby's Dollhouse,TV Show,2021,Kids' TV,Netflix,2021-08-10,,,,,
287,I Need Romance,TV Show,2021,International TV Shows,Netflix,2021-08-10,,,,,
288,Las muñecas de la mafia,TV Show,2018,Crime TV Shows,Netflix,2021-08-10,,,,,
289,The Crowned Clown,TV Show,2019,International TV Shows,Netflix,2021-08-10,,,,,
290,Untold: Malice at the Palace,Movie,2021,Documentaries,Netflix,2021-08-10,,,,,
291,SHAMAN KING,TV Show,2021,Anime Series,Netflix,2021-08-09,,,,,
292,Slay,Movie,2021,Comedies,Netflix,2021-08-08,,,,,
293,Quartet,Movie,2012,Comedies,Netflix,2021-08-08,,,,,
294,The Paper Tigers,Movie,2021,Action & Adventure,Netflix,2021-08-07,,,,,
295,Takizawa Kabuki ZERO 2020 The Movie,Movie,2020,International Movies,Netflix,2021-08-07,,,,,
296,Hit & Run,TV Show,2021,TV Action & Adventure,Netflix,2021-08-06,,,,,
297,Quam's Money,Movie,2020,Comedies,Netflix,2021-08-06,,,,,
298,The Swarm,Movie,2021,Horror Movies,Netflix,2021-08-06,,,,,
299,Vivo,Movie,2021,Children & Family Movies,Netflix,2021-08-06,,,,,
300,Navarasa,TV Show,2021,TV Shows,Netflix,2021-08-06,,,,,
301,Esperando la carroza,Movie,1985,Comedies,Netflix,2021-08-05,,,,,
302,Lady Boss: The Jackie Collins Story,Movie,2021,Documentaries,Netflix,2021-08-05,,,,,
303,Tango Feroz,Movie,1993,Classic Movies,Netflix,2021-08-05,,,,,
304,City of God: 10 Years Later,Movie,2013,Documentaries,Netflix,2021-08-05,,,,,
305,Chennai Express,Movie,2013,Action & Adventure,Netflix,2021-08-05,,,,,
306,'76,Movie,2016,Dramas,Netflix,2021-08-04,,,,,
307,American Masters: Inventing David Geffen,Movie,2012,Movies,Netflix,2021-08-04,,,,,
308,Car Masters: Rust to Riches,TV Show,2021,Reality TV,Netflix,2021-08-04,,,,,
309,Cocaine Cowboys: The Kings of Miami,TV Show,2021,Crime TV Shows,Netflix,2021-08-04,,,,,
310,Control Z,TV Show,2021,International TV Shows,Netflix,2021-08-04,,,,,
311,Cooking With Paris,TV Show,2021,Reality TV,Netflix,2021-08-04,,,,,
312,Aftermath,Movie,2021,Horror Movies,Netflix,2021-08-04,,,,,
